;library_prep;external_donor_name;age_cat;sex;facs_population_plan;roi;age;ncell;mean.gc;mean.umi;mean.reads;full_genotype
1;L8TX_190327_01_B04;450087;adult;M;RFP-positive, DAPI-negative;CNU - PAL;56;1698;4206.122497;15229.64429;39205.947;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
2;L8TX_190327_01_C04;450087;adult;M;RFP-positive, DAPI-negative;CNU - PAL;56;1333;4290.510878;15711.36309;37151.57989;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
3;L8TX_190327_01_D04;450087;adult;M;RFP-positive, DAPI-negative;CNU - PAL;56;1696;4416.611439;15981.90979;60887.9145;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
4;L8TX_190327_01_E04;450087;adult;M;RFP-positive, DAPI-negative;CNU - PAL;56;1746;4572.064147;17590.96621;65683.91695;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
5;L8TX_190327_01_F04;450095;adult;F;RFP-positive, DAPI-negative;STR - sAMY;56;89;4889.044944;18521;50808.67416;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
6;L8TX_190327_01_G04;450095;adult;F;RFP-positive, DAPI-negative;STR - sAMY;56;642;4365.668224;15715.60748;57387.21028;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
7;L8TX_190509_01_A10;459495;adult;F;RFP-positive, DAPI-negative;CNU - PAL;56;1600;4815.94375;21055.90875;103587.6175;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
8;L8TX_190509_01_C09;459490;adult;M;RFP-positive, DAPI-negative;STR - sAMY;56;757;3993.966975;13176.85073;46319.56671;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
9;L8TX_190509_01_D09;459490;adult;M;RFP-positive, DAPI-negative;STR - sAMY;56;628;4219.582803;14951.04777;48509.06529;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
10;L8TX_190509_01_E09;459490;adult;M;RFP-positive, DAPI-negative;STR - sAMY;56;746;4130.301609;13944.67694;45350.81501;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
11;L8TX_190509_01_F09;459495;adult;F;RFP-positive, DAPI-negative;CNU - PAL;56;1296;4958.201389;22289.15895;108088.0826;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
12;L8TX_190509_01_G09;459495;adult;F;RFP-positive, DAPI-negative;CNU - PAL;56;1241;5026.493956;23104.73892;110613.4392;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
13;L8TX_190509_01_H09;459495;adult;F;RFP-positive, DAPI-negative;CNU - PAL;56;1403;4927.470421;22000.54098;104092.1882;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
14;L8TX_190531_01_A01;463943;adult;F;RFP-positive, DAPI-negative;STR - sAMY;56;464;4272.094828;15033.47198;41392.8556;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
15;L8TX_190531_01_A02;462434;adult;M;RFP-positive, DAPI-negative;STR - sAMY;69;424;3926.365566;12865.7217;43671.35142;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
16;L8TX_190531_01_B01;463943;adult;F;RFP-positive, DAPI-negative;STR - sAMY;56;562;4217.044484;13976.2331;34273.45018;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
17;L8TX_190531_01_B02;462434;adult;M;RFP-positive, DAPI-negative;STR - sAMY;69;511;4253.637965;15392.46575;51593.15851;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
18;L8TX_190531_01_C01;463942;adult;F;RFP-positive, DAPI-negative;CNU - PAL;56;1210;4599.035537;18690.89504;89643.27851;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
19;L8TX_190531_01_C02;462434;adult;M;RFP-positive, DAPI-negative;STR - sAMY;69;558;4096.345878;13891.42115;31104.33513;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
20;L8TX_190531_01_D01;463942;adult;F;RFP-positive, DAPI-negative;CNU - PAL;56;1205;4669.304564;19521.76929;79244.19834;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
21;L8TX_190531_01_E01;463942;adult;F;RFP-positive, DAPI-negative;CNU - PAL;56;1306;4413.730475;16925.16003;81190.20904;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
22;L8TX_190531_01_F01;463942;adult;F;RFP-positive, DAPI-negative;CNU - PAL;56;1484;4563.080189;18709.0903;80781.53706;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
23;L8TX_190531_01_G01;462433;adult;M;RFP-positive, DAPI-negative;CNU - PAL;69;754;5135.547745;22877.93103;75834.96817;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
24;L8TX_190531_01_H01;462434;adult;M;RFP-positive, DAPI-negative;STR - sAMY;69;505;4144.205941;14407.45149;38933.49505;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
25;L8TX_190614_01_A05;464754;adult;M;RFP-positive, DAPI-negative;MB - VTA-SN;67;3221;4907.233157;22773.43123;82978.86433;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
26;L8TX_190614_01_A06;464324;adult;M;RFP-positive, DAPI-negative;CNU - PAL;68;1641;4920.333943;21605.50945;83332.0713;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
27;L8TX_190614_01_A07;464328;adult;F;RFP-positive, DAPI-negative;MB - VTA-SN;69;2142;5413.940243;28352.31466;127430.0822;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
28;L8TX_190614_01_B06;464324;adult;M;RFP-positive, DAPI-negative;CNU - PAL;68;1797;4914.012243;21101.00612;70597.21925;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
29;L8TX_190614_01_C06;464324;adult;M;RFP-positive, DAPI-negative;CNU - PAL;68;1588;4970.933879;21871.7733;82838.74307;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
30;L8TX_190614_01_D06;464324;adult;M;RFP-positive, DAPI-negative;CNU - PAL;68;1531;4607.526453;18562.8341;64107.15872;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
31;L8TX_190614_01_E06;464327;adult;F;RFP-positive, DAPI-negative;CNU - PAL;68;1259;4064.643368;14476.6521;81566.50357;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
32;L8TX_190614_01_F06;464327;adult;F;RFP-positive, DAPI-negative;CNU - PAL;68;1315;4257.45019;16341.07757;90747.22814;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
33;L8TX_190614_01_G06;464327;adult;F;RFP-positive, DAPI-negative;CNU - PAL;68;1281;4217.928962;15779.08665;110216.7728;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
34;L8TX_190614_01_H06;464327;adult;F;RFP-positive, DAPI-negative;CNU - PAL;68;1006;4567.088469;18137.79423;151942.33;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
35;L8TX_190627_01_B03;469518;adult;F;RFP-positive, DAPI-negative;Mouse 10x STR - STRd;58;305;4888.511475;24260.80656;79826.18689;NA
36;L8TX_190627_01_C03;469518;adult;F;GFP-positive;Mouse 10x STR - STRd;58;339;4878.855457;24437.70501;72904.30383;NA
37;L8TX_190627_01_D02;468425;adult;M;RFP-positive;Mouse 10x STR - STRd;62;212;4950.429245;23925.84906;73882.33882;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
38;L8TX_190627_01_D03;469518;adult;F;GFP-positive;Mouse 10x STR - STRd;58;352;4699.127841;22026.01136;66135.18466;NA
39;L8TX_190627_01_E02;468425;adult;M;RFP-positive;Mouse 10x STR - STRd;62;190;5353.384211;28322.86842;78798.51599;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
40;L8TX_190627_01_F02;468425;adult;M;RFP-positive;Mouse 10x STR - STRd;62;230;4808.66087;22189.39565;64774.28695;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
41;L8TX_190716_01_A08;469515;adult;M;RFP-positive, DAPI-negative;STR - STRv;64;1710;6461.510526;34109.14971;209585.0439;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
42;L8TX_190716_01_B07;469515;adult;M;RFP-positive, DAPI-negative;STR - STRv;64;2577;6185.513776;29793.49631;109706.4505;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
43;L8TX_190716_01_C07;473084;adult;F;RFP-positive, DAPI-negative;STR - STRv;68;1252;6152.18131;30080.84105;118714.857;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
44;L8TX_190716_01_D07;473084;adult;F;RFP-positive, DAPI-negative;STR - STRv;68;2781;5856.812657;26664.6735;91451.5703;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
45;L8TX_190716_01_G07;473084;adult;F;RFP-positive, DAPI-negative;STR - STRv;68;2828;6115.159477;29405.18388;103035.8133;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
46;L8TX_190716_01_H07;469515;adult;M;RFP-positive, DAPI-negative;STR - STRv;64;2564;5964.782371;28048.461;138364.6993;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
47;L8TX_190725_01_A09;473981;adult;M;RFP-positive, DAPI-negative;MB - PAG-RAmb;63;2819;5786.855623;23664.64455;79802.49876;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
48;L8TX_190725_01_B09;473981;adult;M;RFP-positive, DAPI-negative;MB - PAG-RAmb;63;3023;5807.848495;23813.96295;70716.78862;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
49;L8TX_190725_01_C09;473981;adult;M;RFP-positive, DAPI-negative;MB - PAG-RAmb;63;2888;6046.938366;26123.60942;92709.91932;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
50;L8TX_190725_01_D09;473981;adult;M;RFP-positive, DAPI-negative;MB - PAG-RAmb;63;3187;6060.761531;25854.83213;75628.08535;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
51;L8TX_190822_01_A11;482568;adult;F;RFP-positive, DAPI-negative;MB - PAG-RAmb;56;4407;6450.824143;29005.34763;76717.57976;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
52;L8TX_190822_01_G10;482568;adult;F;RFP-positive, DAPI-negative;MB - PAG-RAmb;56;3377;6356.20077;29485.09594;90399.61119;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
53;L8TX_190822_01_H10;482568;adult;F;RFP-positive, DAPI-negative;MB - PAG-RAmb;56;3747;6425.805444;29537.6309;83461.97491;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
54;L8TX_191003_01_D04;489429;adult;F;RFP-positive, DAPI-negative;PONS - Pmot-Psat ant;53;4278;4495.278635;18015.21155;59832.98621;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
55;L8TX_191015_01_D06;490936;adult;M;RFP-positive, DAPI-negative;PONS - Pmot-Psat post;56;5014;5560.475269;22848.87615;109009.7916;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
56;L8TX_191015_01_E06;492080;adult;F;RFP-positive, DAPI-negative;PONS - Pmot-Psat post;56;5143;5644.266576;23528.41591;94239.44721;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
57;L8TX_191217_01_A05;499298;adult;F;RFP-positive, DAPI-negative;MB - PAG-RAmb;67;4227;6298.249823;27760.75633;113503.3213;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
58;L8TX_191217_01_B05;499298;adult;F;RFP-positive, DAPI-negative;MB - PAG-RAmb;67;4631;6332.242496;27742.67027;103746.8808;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
59;L8TX_191217_01_H04;499298;adult;F;RFP-positive, DAPI-negative;MB - PAG-RAmb;67;4612;6021.761275;25078.78187;92324.5167;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
60;L8TX_200106_01_C08;500027;adult;M;RFP-positive, DAPI-negative;PONS - Pmot-Psat ant;67;3954;4437.751138;17726.93475;94896.56778;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
61;L8TX_200114_01_C12;504230;adult;M;RFP-positive, DAPI-negative;MB - VTA-SN;63;2205;6004.194104;32307.64399;134356.5637;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
62;L8TX_200122_01_F12;504535;adult;F;RFP-positive, DAPI-negative;MB - VTA-SN;67;2036;5676.39833;28667.41208;101654.4023;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
63;L8TX_200130_01_D01;506920;adult;M;RFP-positive, DAPI-negative;MB - PAG-RAmb;59;4478;6316.968513;26846.5929;63177.78919;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
64;L8TX_200130_01_F01;506920;adult;M;RFP-positive, DAPI-negative;MB - PAG-RAmb;59;4090;6095.586308;25019.54817;65358.50782;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
65;L8TX_200130_01_G01;506920;adult;M;RFP-positive, DAPI-negative;MB - PAG-RAmb;59;3881;6319.795156;27490.52126;92794.95774;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
66;L8TX_200702_01_A01;443008;aged;F;RFP-positive, DAPI-negative;ACA;549;5837;6184.27754;27946.87168;51115.20747;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
67;L8TX_200702_01_B01;443008;aged;F;RFP-positive, DAPI-negative;ACA;549;5454;6806.913091;35063.09333;74257.34782;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
68;L8TX_200702_01_C01;443008;aged;F;RFP-positive, DAPI-negative;STR - STRv;549;2463;5901.373122;25574.47219;92780.01746;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
69;L8TX_200702_01_D01;443008;aged;F;RFP-positive, DAPI-negative;STR - STRv;549;2368;5798.345439;24450.78378;80175.34586;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
70;L8TX_200723_01_A09;452095;aged;F;RFP-positive, DAPI-negative;PAR-POST-PRE-SUB-ProS;540;6178;5969.240207;24726.65733;43789.77436;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
71;L8TX_200723_01_B09;452096;aged;F;RFP-positive, DAPI-negative;RSP;540;5495;5558.348317;21466.89172;41731.72939;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
72;L8TX_200723_01_B10;452095;aged;F;Calcein-positive, Hoechst-positive;PAR-POST-PRE-SUB-ProS;540;5683;5323.790604;22444.98469;48851.877;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
73;L8TX_200723_01_B12;452096;aged;F;Calcein-positive, Hoechst-positive;RSP;540;4676;3989.867836;14236.40954;61663.44739;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
74;L8TX_200723_01_C09;452096;aged;F;RFP-positive, DAPI-negative;ENT;540;4531;6006.521077;25880.62856;47078.04988;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
75;L8TX_200723_01_C10;452095;aged;F;RFP-positive, DAPI-negative;PONS - Pmot-Psat ant;540;4240;4798.639858;19766.22476;77645.44717;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
