;library_prep;external_donor_name;age_cat;sex;facs_population_plan;roi;age;ncell;mean.gc;mean.umi;mean.reads;full_genotype
146;L8TX_200831_01_H10;540565;adult;M;Calcein-positive, Hoechst-positive;STR - sAMY;54;7388;3479.016784;10031.58527;61425.46819;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
147;L8TX_200903_01_A12;540230;adult;F;RFP-positive;HY - HYpm;64;5;4990;13764;37493.8;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
148;L8TX_200903_01_B12;540565;adult;M;No FACS;STR - sAMY;54;4352;3735.303998;11103.31824;35186.53929;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
149;L8TX_200903_01_C01;539609;adult;F;RFP-positive;HY - HYmm;65;16;5139.25;16440.5625;42913.8125;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
150;L8TX_200903_01_C12;540566;adult;F;Calcein-positive, Hoechst-positive;STR - STRv;61;3550;5436.454085;25285.02141;106893.2186;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
151;L8TX_200903_01_F11;540566;adult;F;Calcein-positive, Hoechst-positive;ACA;61;6219;5896.232674;31318.16048;78982.47194;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
152;L8TX_200903_01_H11;540230;adult;F;RFP-positive;HY - HYa2;64;1;3438;6646;18734;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
153;L8TX_200909_01_F01;459918;aged;F;RFP-positive, DAPI-negative;ENT;544;3766;7109.801381;38408.74827;87181.51753;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
154;L8TX_200909_01_G01;459919;aged;F;Calcein-positive, Hoechst-positive;HIP - CA;544;5461;4818.754257;21833.39791;78285.55924;Ai14(RCL-tdT)/wt
155;L8TX_200910_01_E03;459919;aged;F;Calcein-positive, Hoechst-positive;MB - VTA-SN;544;6349;3595.513939;12388.62136;112196.8427;Ai14(RCL-tdT)/wt
156;L8TX_200910_01_F02;459918;aged;F;RFP-positive, DAPI-negative;MB - VTA-SN;544;2193;4943.940264;21849.37893;77450.7948;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
157;L8TX_200910_01_G02;459918;aged;F;Calcein-positive, Hoechst-positive;ENT;544;5645;3841.221612;11413.71639;83420.40248;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
158;L8TX_200924_01_A05;463232;aged;M;RFP-positive, Calcein-positive, Hoechst-positive;CNU - PAL;541;1455;4469.865292;15874.56564;53941.58625;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
159;L8TX_200924_01_A06;463235;aged;M;RFP-positive, Calcein-positive, Hoechst-positive;PONS - Pmot-Psat ant;541;3123;5357.6878;22653.93884;96081.22318;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
160;L8TX_200924_01_B06;463235;aged;M;Calcein-positive, Hoechst-positive;PONS - Pmot-Psat ant;541;8282;3191.990823;9218.514972;75894.92405;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
161;L8TX_200924_01_C06;463232;aged;M;Calcein-positive, Hoechst-positive;CNU - PAL;541;5196;3359.826982;10072.96016;133279.1928;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
162;L8TX_200924_01_D05;463235;aged;M;RFP-positive, DAPI-negative;PAR-POST-PRE-SUB-ProS;541;4410;6521.441043;32774.28889;111064.1469;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
163;L8TX_200924_01_E05;463232;aged;M;Calcein-positive, Hoechst-positive;STR - STRd;541;5046;3061.09453;8428.651209;47706.21344;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
164;L8TX_200924_01_F05;544400;adult;F;Calcein-positive, Hoechst-positive;CNU - PAL;58;6476;3300.849907;9927.611334;44596.92634;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
165;L8TX_200924_01_G05;544400;adult;F;Calcein-positive, Hoechst-positive;STR - STRd;58;3382;3347.055588;10036.10822;34669.13897;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
166;L8TX_200924_01_H05;463235;aged;M;Calcein-positive, Hoechst-positive;PAR-POST-PRE-SUB-ProS;541;5102;3959.461584;14466.16621;86525.26068;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
167;L8TX_201001_01_A08;463230;aged;M;Calcein-positive, Hoechst-positive;MB - VTA-SN;549;9165;3521.693835;11079.40775;78860.74043;Ai14(RCL-tdT)/wt
168;L8TX_201001_01_A09;464759;aged;F;RFP-positive, Calcein-positive, Hoechst-positive;STR - sAMY;541;913;4250.125958;13467.23111;34230.25301;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
169;L8TX_201001_01_B08;463229;aged;M;RFP-positive, DAPI-negative;MB - VTA-SN;548;3819;5427.774548;29524.52239;106898.3792;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
170;L8TX_201001_01_B09;464758;aged;F;RFP-positive, DAPI-negative;PONS - Pmot-Psat post;542;4902;5688.690738;22613.68605;71407.27846;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
171;L8TX_201001_01_C07;463230;aged;M;No FACS;MB - VTA-SN;549;3273;3630.272533;12329.14268;137508.9169;Ai14(RCL-tdT)/wt
172;L8TX_201001_01_C08;464758;aged;F;Calcein-positive, Hoechst-positive;MB - PAG-RAmb;542;8620;3093.041067;7816.25348;54068.1993;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
173;L8TX_201001_01_C09;464758;aged;F;RFP-positive, DAPI-negative;MB - PAG-RAmb;542;3280;6541.669817;27865.21768;72404.37744;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
174;L8TX_201001_01_E07;464756;aged;F;Calcein-positive, Hoechst-positive;STR - sAMY;541;3793;3120.949908;8500.949117;28149.30293;Ai14(RCL-tdT)/wt
175;L8TX_201001_01_E08;463229;aged;M;RFP-positive, DAPI-negative;HIP - CA;548;4543;6745.290337;37435.53665;76590.73718;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
176;L8TX_201001_01_F07;464759;aged;F;Calcein-positive, Hoechst-positive;STR - sAMY;541;6421;3134.572341;8552.644292;66876.54789;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
177;L8TX_201001_01_G07;464759;aged;F;Calcein-positive, Hoechst-positive;HY -  MEZ-PVZ-PVR;541;7724;3056.086354;8646.387235;70343.64436;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
178;L8TX_201001_01_H07;463230;aged;M;No FACS;HIP - CA;549;6026;4832.086293;23188.14023;114361.5714;Ai14(RCL-tdT)/wt
